Training for 5000 steps ...
WARNING:tensorflow:From C:\Users\LennartvanHam\Anaconda3\envs\CartPole\lib\site-packages\keras-2.3.1-py3.7.egg\keras\backend\tensorflow_backend.py:422: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

    9/5000: episode: 1, duration: 0.101s, episode steps: 9, steps per second: 89, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.162 [-2.882, 1.749], loss: --, mae: --, mean_q: --
  326/5000: episode: 34, duration: 0.074s, episode steps: 10, steps per second: 135, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-3.067, 2.005], loss: 0.752486, mae: 1.084840, mean_q: 3.080610
  337/5000: episode: 35, duration: 0.083s, episode steps: 11, steps per second: 132, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.134 [-2.740, 1.737], loss: 0.626237, mae: 1.063907, mean_q: 3.036711
  346/5000: episode: 36, duration: 0.086s, episode steps: 9, steps per second: 105, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.159 [-2.825, 1.740], loss: 0.688915, mae: 1.123300, mean_q: 3.186813
  355/5000: episode: 37, duration: 0.066s, episode steps: 9, steps per second: 137, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.135 [-2.291, 1.390], loss: 0.538006, mae: 1.100460, mean_q: 3.208615
  365/5000: episode: 38, duration: 0.079s, episode steps: 10, steps per second: 127, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.131 [-3.004, 1.973], loss: 0.606932, mae: 1.126719, mean_q: 3.324267
  373/5000: episode: 39, duration: 0.103s, episode steps: 8, steps per second: 78, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-2.490, 1.562], loss: 0.612106, mae: 1.167350, mean_q: 3.293755
  385/5000: episode: 40, duration: 0.094s, episode steps: 12, steps per second: 127, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.917 [0.000, 1.000], mean observation: -0.125 [-3.069, 1.942], loss: 0.510120, mae: 1.185916, mean_q: 3.331288
  396/5000: episode: 41, duration: 0.131s, episode steps: 11, steps per second: 84, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.121 [-3.302, 2.151], loss: 0.691454, mae: 1.295938, mean_q: 3.443354
  407/5000: episode: 42, duration: 0.077s, episode steps: 11, steps per second: 144, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.149 [-2.835, 1.714], loss: 0.568110, mae: 1.326306, mean_q: 3.473413
  417/5000: episode: 43, duration: 0.074s, episode steps: 10, steps per second: 134, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.095 [-2.608, 1.794], loss: 0.570391, mae: 1.368773, mean_q: 3.577864
  426/5000: episode: 44, duration: 0.083s, episode steps: 9, steps per second: 108, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.135 [-2.830, 1.801], loss: 0.622525, mae: 1.413319, mean_q: 3.621201
  439/5000: episode: 45, duration: 0.086s, episode steps: 13, steps per second: 151, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.846 [0.000, 1.000], mean observation: -0.078 [-2.742, 1.800], loss: 0.563291, mae: 1.471319, mean_q: 3.643625
  449/5000: episode: 46, duration: 0.067s, episode steps: 10, steps per second: 150, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.102 [-2.652, 1.793], loss: 0.482431, mae: 1.474101, mean_q: 3.702026
  459/5000: episode: 47, duration: 0.074s, episode steps: 10, steps per second: 136, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.130 [-3.112, 1.995], loss: 0.551249, mae: 1.522696, mean_q: 3.836028
  469/5000: episode: 48, duration: 0.081s, episode steps: 10, steps per second: 124, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.170 [-3.107, 1.923], loss: 0.545603, mae: 1.558816, mean_q: 3.873908
  479/5000: episode: 49, duration: 0.091s, episode steps: 10, steps per second: 110, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.151 [-3.103, 1.949], loss: 0.545430, mae: 1.553143, mean_q: 3.831245
  489/5000: episode: 50, duration: 0.078s, episode steps: 10, steps per second: 128, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.152 [-2.256, 1.351], loss: 0.589624, mae: 1.614630, mean_q: 3.853639
  498/5000: episode: 51, duration: 0.067s, episode steps: 9, steps per second: 133, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.133 [-2.216, 1.406], loss: 0.511573, mae: 1.586516, mean_q: 3.942703
  506/5000: episode: 52, duration: 0.151s, episode steps: 8, steps per second: 53, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.150 [-2.537, 1.534], loss: 0.506562, mae: 1.614387, mean_q: 3.983403
  514/5000: episode: 53, duration: 0.070s, episode steps: 8, steps per second: 115, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.142 [-2.526, 1.526], loss: 0.515987, mae: 1.675701, mean_q: 4.072682
  524/5000: episode: 54, duration: 0.110s, episode steps: 10, steps per second: 91, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.160 [-3.135, 1.952], loss: 0.594791, mae: 1.729343, mean_q: 4.124402
  534/5000: episode: 55, duration: 0.077s, episode steps: 10, steps per second: 130, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.149 [-3.083, 1.975], loss: 0.474494, mae: 1.729399, mean_q: 4.131312
  543/5000: episode: 56, duration: 0.083s, episode steps: 9, steps per second: 109, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.154 [-2.157, 1.340], loss: 0.462808, mae: 1.759503, mean_q: 4.242135
  553/5000: episode: 57, duration: 0.169s, episode steps: 10, steps per second: 59, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.141 [-2.513, 1.553], loss: 0.500731, mae: 1.825849, mean_q: 4.319010
  564/5000: episode: 58, duration: 0.080s, episode steps: 11, steps per second: 137, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.112 [-2.774, 1.790], loss: 0.516299, mae: 1.844519, mean_q: 4.327883
  574/5000: episode: 59, duration: 0.076s, episode steps: 10, steps per second: 132, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.134 [-2.966, 1.915], loss: 0.466505, mae: 1.883726, mean_q: 4.294561
  583/5000: episode: 60, duration: 0.071s, episode steps: 9, steps per second: 127, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.146 [-2.807, 1.720], loss: 0.486285, mae: 1.919581, mean_q: 4.356607
  595/5000: episode: 61, duration: 0.165s, episode steps: 12, steps per second: 73, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.833 [0.000, 1.000], mean observation: -0.128 [-2.579, 1.556], loss: 0.421619, mae: 1.918570, mean_q: 4.422708
  604/5000: episode: 62, duration: 0.110s, episode steps: 9, steps per second: 82, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.159 [-2.818, 1.767], loss: 0.452066, mae: 1.939408, mean_q: 4.588021
  613/5000: episode: 63, duration: 0.067s, episode steps: 9, steps per second: 134, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.143 [-2.358, 1.416], loss: 0.350917, mae: 1.923681, mean_q: 4.658312
  622/5000: episode: 64, duration: 0.068s, episode steps: 9, steps per second: 133, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.148 [-2.831, 1.804], loss: 0.564078, mae: 2.018675, mean_q: 4.568723
  630/5000: episode: 65, duration: 0.120s, episode steps: 8, steps per second: 67, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.156 [-2.523, 1.552], loss: 0.429062, mae: 2.020933, mean_q: 4.563897
  640/5000: episode: 66, duration: 0.108s, episode steps: 10, steps per second: 93, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.138 [-2.584, 1.586], loss: 0.437449, mae: 2.053577, mean_q: 4.584777
  648/5000: episode: 67, duration: 0.105s, episode steps: 8, steps per second: 76, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.147 [-2.524, 1.562], loss: 0.403664, mae: 2.078145, mean_q: 4.694934
  658/5000: episode: 68, duration: 0.079s, episode steps: 10, steps per second: 126, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.130 [-2.709, 1.780], loss: 0.464923, mae: 2.133634, mean_q: 4.746989
  667/5000: episode: 69, duration: 0.086s, episode steps: 9, steps per second: 104, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.141 [-2.251, 1.386], loss: 0.462885, mae: 2.175541, mean_q: 4.673485
  679/5000: episode: 70, duration: 0.127s, episode steps: 12, steps per second: 95, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.750 [0.000, 1.000], mean observation: -0.094 [-2.225, 1.388], loss: 0.455090, mae: 2.199899, mean_q: 4.676145
  690/5000: episode: 71, duration: 0.106s, episode steps: 11, steps per second: 104, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.123 [-2.346, 1.517], loss: 0.427830, mae: 2.209880, mean_q: 4.792002
  700/5000: episode: 72, duration: 0.073s, episode steps: 10, steps per second: 137, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.112 [-2.629, 1.787], loss: 0.334185, mae: 2.181921, mean_q: 4.901958
  709/5000: episode: 73, duration: 0.094s, episode steps: 9, steps per second: 96, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.157 [-2.444, 1.521], loss: 0.423998, mae: 2.246667, mean_q: 4.980252
  720/5000: episode: 74, duration: 0.101s, episode steps: 11, steps per second: 109, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.106 [-2.322, 1.596], loss: 0.380033, mae: 2.234756, mean_q: 4.947281
  730/5000: episode: 75, duration: 0.133s, episode steps: 10, steps per second: 75, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.131 [-2.425, 1.585], loss: 0.374105, mae: 2.246926, mean_q: 5.002114
  743/5000: episode: 76, duration: 0.121s, episode steps: 13, steps per second: 108, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.769 [0.000, 1.000], mean observation: -0.063 [-2.410, 1.607], loss: 0.359357, mae: 2.265143, mean_q: 5.050440
  751/5000: episode: 77, duration: 0.130s, episode steps: 8, steps per second: 61, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.875 [0.000, 1.000], mean observation: -0.143 [-2.223, 1.395], loss: 0.357888, mae: 2.301904, mean_q: 5.177393
  762/5000: episode: 78, duration: 0.083s, episode steps: 11, steps per second: 133, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.109 [-2.353, 1.603], loss: 0.384871, mae: 2.277843, mean_q: 5.058908
  773/5000: episode: 79, duration: 0.078s, episode steps: 11, steps per second: 141, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.116 [-2.466, 1.600], loss: 0.371618, mae: 2.268369, mean_q: 5.088756
  783/5000: episode: 80, duration: 0.114s, episode steps: 10, steps per second: 87, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.129 [-2.199, 1.414], loss: 0.381740, mae: 2.291449, mean_q: 5.129332
  792/5000: episode: 81, duration: 0.083s, episode steps: 9, steps per second: 109, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.122 [-2.410, 1.577], loss: 0.318809, mae: 2.274907, mean_q: 5.291000
  802/5000: episode: 82, duration: 0.078s, episode steps: 10, steps per second: 128, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.123 [-2.006, 1.222], loss: 0.356936, mae: 2.287315, mean_q: 5.300227
  811/5000: episode: 83, duration: 0.095s, episode steps: 9, steps per second: 94, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.132 [-2.216, 1.349], loss: 0.350079, mae: 2.296594, mean_q: 5.259105
  820/5000: episode: 84, duration: 0.120s, episode steps: 9, steps per second: 75, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.130 [-2.457, 1.609], loss: 0.333827, mae: 2.299014, mean_q: 5.255648
  832/5000: episode: 85, duration: 0.090s, episode steps: 12, steps per second: 133, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.750 [0.000, 1.000], mean observation: -0.107 [-2.409, 1.553], loss: 0.352065, mae: 2.309432, mean_q: 5.272009
  842/5000: episode: 86, duration: 0.108s, episode steps: 10, steps per second: 93, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.141 [-2.452, 1.574], loss: 0.411647, mae: 2.369877, mean_q: 5.264460
  851/5000: episode: 87, duration: 0.074s, episode steps: 9, steps per second: 122, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.131 [-2.173, 1.417], loss: 0.333239, mae: 2.362986, mean_q: 5.337735
  862/5000: episode: 88, duration: 0.113s, episode steps: 11, steps per second: 98, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.129 [-2.329, 1.342], loss: 0.272782, mae: 2.367762, mean_q: 5.462259
  871/5000: episode: 89, duration: 0.085s, episode steps: 9, steps per second: 105, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.136 [-2.461, 1.541], loss: 0.299546, mae: 2.404863, mean_q: 5.551255
  880/5000: episode: 90, duration: 0.063s, episode steps: 9, steps per second: 143, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.153 [-2.531, 1.607], loss: 0.347286, mae: 2.430184, mean_q: 5.475558
  894/5000: episode: 91, duration: 0.120s, episode steps: 14, steps per second: 117, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.714 [0.000, 1.000], mean observation: -0.097 [-2.127, 1.233], loss: 0.342901, mae: 2.440946, mean_q: 5.393225
  903/5000: episode: 92, duration: 0.085s, episode steps: 9, steps per second: 106, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.136 [-2.160, 1.347], loss: 0.264673, mae: 2.447856, mean_q: 5.637908
  913/5000: episode: 93, duration: 0.158s, episode steps: 10, steps per second: 63, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.134 [-2.242, 1.370], loss: 0.321838, mae: 2.458116, mean_q: 5.403865
  922/5000: episode: 94, duration: 0.069s, episode steps: 9, steps per second: 130, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.136 [-2.125, 1.347], loss: 0.344770, mae: 2.518756, mean_q: 5.481603
  933/5000: episode: 95, duration: 0.078s, episode steps: 11, steps per second: 141, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.091 [-2.264, 1.596], loss: 0.261985, mae: 2.462775, mean_q: 5.438866
  943/5000: episode: 96, duration: 0.071s, episode steps: 10, steps per second: 141, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.114 [-2.201, 1.417], loss: 0.352258, mae: 2.555279, mean_q: 5.614406
  951/5000: episode: 97, duration: 0.125s, episode steps: 8, steps per second: 64, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.875 [0.000, 1.000], mean observation: -0.142 [-2.168, 1.356], loss: 0.313136, mae: 2.509676, mean_q: 5.534689
  962/5000: episode: 98, duration: 0.103s, episode steps: 11, steps per second: 107, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.108 [-2.044, 1.395], loss: 0.367772, mae: 2.588074, mean_q: 5.607101
  972/5000: episode: 99, duration: 0.086s, episode steps: 10, steps per second: 117, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.127 [-2.367, 1.553], loss: 0.299879, mae: 2.529372, mean_q: 5.575856
  981/5000: episode: 100, duration: 0.075s, episode steps: 9, steps per second: 120, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.182 [-2.887, 1.722], loss: 0.311083, mae: 2.564528, mean_q: 5.650642
