Training for 5000 steps ...
    9/5000: episode: 1, duration: 0.257s, episode steps: 9, steps per second: 35, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.162 [-2.882, 1.749], loss: --, mae: --, mean_q: --
  337/5000: episode: 35, duration: 0.096s, episode steps: 11, steps per second: 115, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.134 [-2.740, 1.737], loss: 0.590722, mae: 1.099168, mean_q: 3.106721
  346/5000: episode: 36, duration: 0.088s, episode steps: 9, steps per second: 102, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.159 [-2.825, 1.740], loss: 0.614396, mae: 1.148229, mean_q: 3.185163
  355/5000: episode: 37, duration: 0.100s, episode steps: 9, steps per second: 90, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.135 [-2.291, 1.390], loss: 0.529888, mae: 1.154230, mean_q: 3.265997
  365/5000: episode: 38, duration: 0.091s, episode steps: 10, steps per second: 110, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.131 [-3.004, 1.973], loss: 0.600625, mae: 1.239910, mean_q: 3.396265
  373/5000: episode: 39, duration: 0.075s, episode steps: 8, steps per second: 107, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-2.490, 1.562], loss: 0.577098, mae: 1.283142, mean_q: 3.511560
  385/5000: episode: 40, duration: 0.112s, episode steps: 12, steps per second: 107, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.917 [0.000, 1.000], mean observation: -0.125 [-3.069, 1.942], loss: 0.610840, mae: 1.302229, mean_q: 3.567143
  396/5000: episode: 41, duration: 0.081s, episode steps: 11, steps per second: 135, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.121 [-3.302, 2.151], loss: 0.729743, mae: 1.421040, mean_q: 3.518910
  407/5000: episode: 42, duration: 0.081s, episode steps: 11, steps per second: 136, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.149 [-2.835, 1.714], loss: 0.664882, mae: 1.435680, mean_q: 3.438767
  417/5000: episode: 43, duration: 0.107s, episode steps: 10, steps per second: 93, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.095 [-2.608, 1.794], loss: 0.636980, mae: 1.476369, mean_q: 3.514436
  426/5000: episode: 44, duration: 0.095s, episode steps: 9, steps per second: 95, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.135 [-2.830, 1.801], loss: 0.672985, mae: 1.535793, mean_q: 3.635815
  439/5000: episode: 45, duration: 0.119s, episode steps: 13, steps per second: 109, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.846 [0.000, 1.000], mean observation: -0.078 [-2.742, 1.800], loss: 0.583541, mae: 1.556885, mean_q: 3.689409
  449/5000: episode: 46, duration: 0.086s, episode steps: 10, steps per second: 116, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.102 [-2.652, 1.793], loss: 0.638959, mae: 1.585688, mean_q: 3.778285
  459/5000: episode: 47, duration: 0.155s, episode steps: 10, steps per second: 65, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.130 [-3.112, 1.995], loss: 0.559319, mae: 1.601107, mean_q: 3.793329
  469/5000: episode: 48, duration: 0.142s, episode steps: 10, steps per second: 70, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.170 [-3.107, 1.923], loss: 0.584127, mae: 1.648602, mean_q: 3.857602
  479/5000: episode: 49, duration: 0.133s, episode steps: 10, steps per second: 75, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.151 [-3.103, 1.949], loss: 0.570704, mae: 1.686555, mean_q: 3.908577
  489/5000: episode: 50, duration: 0.111s, episode steps: 10, steps per second: 90, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.152 [-2.256, 1.351], loss: 0.507000, mae: 1.683836, mean_q: 4.000966
  498/5000: episode: 51, duration: 0.090s, episode steps: 9, steps per second: 100, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.133 [-2.216, 1.406], loss: 0.540580, mae: 1.714331, mean_q: 4.075992
  506/5000: episode: 52, duration: 0.071s, episode steps: 8, steps per second: 113, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.150 [-2.537, 1.534], loss: 0.626744, mae: 1.764747, mean_q: 4.064243
  514/5000: episode: 53, duration: 0.099s, episode steps: 8, steps per second: 81, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.142 [-2.526, 1.526], loss: 0.555947, mae: 1.736133, mean_q: 4.036404
  524/5000: episode: 54, duration: 0.099s, episode steps: 10, steps per second: 101, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.160 [-3.135, 1.952], loss: 0.585853, mae: 1.779129, mean_q: 4.060281
  534/5000: episode: 55, duration: 0.103s, episode steps: 10, steps per second: 97, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.149 [-3.083, 1.975], loss: 0.449879, mae: 1.742607, mean_q: 4.178425
  543/5000: episode: 56, duration: 0.092s, episode steps: 9, steps per second: 97, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.154 [-2.157, 1.340], loss: 0.617371, mae: 1.799747, mean_q: 4.281045
  553/5000: episode: 57, duration: 0.083s, episode steps: 10, steps per second: 121, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.141 [-2.513, 1.553], loss: 0.513794, mae: 1.754236, mean_q: 4.239067
  564/5000: episode: 58, duration: 0.088s, episode steps: 11, steps per second: 125, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.112 [-2.774, 1.790], loss: 0.510228, mae: 1.777020, mean_q: 4.262384
  574/5000: episode: 59, duration: 0.075s, episode steps: 10, steps per second: 133, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.134 [-2.966, 1.915], loss: 0.451416, mae: 1.776214, mean_q: 4.419363
  583/5000: episode: 60, duration: 0.069s, episode steps: 9, steps per second: 131, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.146 [-2.807, 1.720], loss: 0.520639, mae: 1.848758, mean_q: 4.466479
  595/5000: episode: 61, duration: 0.139s, episode steps: 12, steps per second: 87, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.833 [0.000, 1.000], mean observation: -0.128 [-2.579, 1.556], loss: 0.456437, mae: 1.852858, mean_q: 4.480687
  604/5000: episode: 62, duration: 0.074s, episode steps: 9, steps per second: 122, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.159 [-2.818, 1.767], loss: 0.531395, mae: 1.890296, mean_q: 4.475697
  613/5000: episode: 63, duration: 0.108s, episode steps: 9, steps per second: 83, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.143 [-2.358, 1.416], loss: 0.457382, mae: 1.891764, mean_q: 4.537130
  622/5000: episode: 64, duration: 0.095s, episode steps: 9, steps per second: 95, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.148 [-2.831, 1.804], loss: 0.445315, mae: 1.897694, mean_q: 4.593300
  630/5000: episode: 65, duration: 0.080s, episode steps: 8, steps per second: 100, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.156 [-2.523, 1.552], loss: 0.434117, mae: 1.934669, mean_q: 4.592728
  640/5000: episode: 66, duration: 0.094s, episode steps: 10, steps per second: 106, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.138 [-2.584, 1.586], loss: 0.532827, mae: 2.012968, mean_q: 4.588312
  648/5000: episode: 67, duration: 0.075s, episode steps: 8, steps per second: 106, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.147 [-2.524, 1.562], loss: 0.450495, mae: 2.017018, mean_q: 4.669729
  658/5000: episode: 68, duration: 0.078s, episode steps: 10, steps per second: 128, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.130 [-2.709, 1.780], loss: 0.436308, mae: 2.012764, mean_q: 4.775436
  667/5000: episode: 69, duration: 0.070s, episode steps: 9, steps per second: 129, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.141 [-2.251, 1.386], loss: 0.390837, mae: 2.021696, mean_q: 4.762611
  679/5000: episode: 70, duration: 0.094s, episode steps: 12, steps per second: 127, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.833 [0.000, 1.000], mean observation: -0.097 [-2.568, 1.584], loss: 0.364633, mae: 2.054482, mean_q: 4.848378
  690/5000: episode: 71, duration: 0.081s, episode steps: 11, steps per second: 135, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.127 [-2.346, 1.517], loss: 0.473658, mae: 2.125201, mean_q: 4.806417
  700/5000: episode: 72, duration: 0.159s, episode steps: 10, steps per second: 63, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.112 [-2.629, 1.787], loss: 0.436968, mae: 2.143851, mean_q: 4.761303
  709/5000: episode: 73, duration: 0.085s, episode steps: 9, steps per second: 105, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.157 [-2.444, 1.521], loss: 0.338985, mae: 2.127866, mean_q: 4.942617
  720/5000: episode: 74, duration: 0.104s, episode steps: 11, steps per second: 106, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.106 [-2.322, 1.596], loss: 0.447624, mae: 2.185910, mean_q: 4.907907
  730/5000: episode: 75, duration: 0.082s, episode steps: 10, steps per second: 123, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.131 [-2.425, 1.585], loss: 0.395589, mae: 2.176361, mean_q: 4.945463
  743/5000: episode: 76, duration: 0.094s, episode steps: 13, steps per second: 138, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.769 [0.000, 1.000], mean observation: -0.063 [-2.410, 1.607], loss: 0.368530, mae: 2.180358, mean_q: 4.933246
  751/5000: episode: 77, duration: 0.065s, episode steps: 8, steps per second: 123, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.875 [0.000, 1.000], mean observation: -0.143 [-2.223, 1.395], loss: 0.398956, mae: 2.202529, mean_q: 4.977649
  762/5000: episode: 78, duration: 0.090s, episode steps: 11, steps per second: 123, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.109 [-2.353, 1.603], loss: 0.347236, mae: 2.198246, mean_q: 5.136803
  773/5000: episode: 79, duration: 0.144s, episode steps: 11, steps per second: 77, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.116 [-2.466, 1.600], loss: 0.392571, mae: 2.212957, mean_q: 5.089303
  783/5000: episode: 80, duration: 0.080s, episode steps: 10, steps per second: 125, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.129 [-2.199, 1.414], loss: 0.293761, mae: 2.202272, mean_q: 5.099196
  792/5000: episode: 81, duration: 0.078s, episode steps: 9, steps per second: 115, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.122 [-2.410, 1.577], loss: 0.342655, mae: 2.244603, mean_q: 5.293081
  802/5000: episode: 82, duration: 0.148s, episode steps: 10, steps per second: 67, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.123 [-2.006, 1.222], loss: 0.348067, mae: 2.264679, mean_q: 5.161733
  811/5000: episode: 83, duration: 0.082s, episode steps: 9, steps per second: 110, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.132 [-2.216, 1.349], loss: 0.269847, mae: 2.278794, mean_q: 5.392399
  820/5000: episode: 84, duration: 0.072s, episode steps: 9, steps per second: 126, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.130 [-2.457, 1.609], loss: 0.281411, mae: 2.311610, mean_q: 5.300238
  832/5000: episode: 85, duration: 0.090s, episode steps: 12, steps per second: 133, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.750 [0.000, 1.000], mean observation: -0.102 [-2.164, 1.360], loss: 0.308289, mae: 2.373948, mean_q: 5.438359
  842/5000: episode: 86, duration: 0.091s, episode steps: 10, steps per second: 110, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.131 [-2.126, 1.378], loss: 0.350894, mae: 2.416129, mean_q: 5.303628
  851/5000: episode: 87, duration: 0.102s, episode steps: 9, steps per second: 89, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.131 [-2.173, 1.417], loss: 0.221971, mae: 2.370352, mean_q: 5.357350
  862/5000: episode: 88, duration: 0.115s, episode steps: 11, steps per second: 96, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.125 [-1.987, 1.145], loss: 0.323356, mae: 2.398854, mean_q: 5.367486
  871/5000: episode: 89, duration: 0.103s, episode steps: 9, steps per second: 87, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.126 [-2.131, 1.344], loss: 0.348785, mae: 2.431445, mean_q: 5.543075
  880/5000: episode: 90, duration: 0.094s, episode steps: 9, steps per second: 95, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.142 [-2.196, 1.411], loss: 0.263870, mae: 2.394747, mean_q: 5.475572
  894/5000: episode: 91, duration: 0.116s, episode steps: 14, steps per second: 121, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.714 [0.000, 1.000], mean observation: -0.097 [-2.127, 1.233], loss: 0.261981, mae: 2.445111, mean_q: 5.680611
  903/5000: episode: 92, duration: 0.081s, episode steps: 9, steps per second: 111, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.136 [-2.160, 1.347], loss: 0.273965, mae: 2.490499, mean_q: 5.756522
  913/5000: episode: 93, duration: 0.087s, episode steps: 10, steps per second: 116, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.134 [-2.242, 1.370], loss: 0.320612, mae: 2.518619, mean_q: 5.621425
  922/5000: episode: 94, duration: 0.083s, episode steps: 9, steps per second: 109, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.136 [-2.125, 1.347], loss: 0.243826, mae: 2.517575, mean_q: 5.617994
  933/5000: episode: 95, duration: 0.092s, episode steps: 11, steps per second: 120, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.091 [-2.264, 1.596], loss: 0.323193, mae: 2.557825, mean_q: 5.600388
  943/5000: episode: 96, duration: 0.097s, episode steps: 10, steps per second: 103, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.114 [-2.201, 1.417], loss: 0.299771, mae: 2.584023, mean_q: 5.689275
  951/5000: episode: 97, duration: 0.077s, episode steps: 8, steps per second: 104, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.875 [0.000, 1.000], mean observation: -0.142 [-2.168, 1.356], loss: 0.298798, mae: 2.648689, mean_q: 5.907977
  962/5000: episode: 98, duration: 0.089s, episode steps: 11, steps per second: 123, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.108 [-2.044, 1.395], loss: 0.341338, mae: 2.651451, mean_q: 5.711686
  972/5000: episode: 99, duration: 0.104s, episode steps: 10, steps per second: 96, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.800 [0.000, 1.000], mean observation: -0.122 [-2.116, 1.359], loss: 0.322205, mae: 2.652459, mean_q: 5.709266
  981/5000: episode: 100, duration: 0.077s, episode steps: 9, steps per second: 118, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.172 [-2.311, 1.333], loss: 0.272876, mae: 2.662670, mean_q: 5.807859
  990/5000: episode: 101, duration: 0.074s, episode steps: 9, steps per second: 121, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.778 [0.000, 1.000], mean observation: -0.151 [-2.190, 1.378], loss: 0.376891, mae: 2.673434, mean_q: 5.641785
